"En,sinhala"
"N-valve,N-කපාටය"
"a-bomb,පරමාණු බෝම්බය"
"a-effect,තාදාත්ම්‍ය විඝටනය"
"a,අනියමාර්ථ විශේෂණය "
"abaca,පිලිපීනයේ ගසක  විශේෂයක්"
"aback,පස්සට "
"abacus,ඇබකසය "
"abaft,නැවක පසු භාගයෙහි "
"abandon,අත්හරිනවා "
"abandoned,අතරමං කළ "
"abandonment,අත්හැර දැමීම "
"abase,නින්දා කරනවා "
"abasement,අවමන් කිරීම "
"abash,අධෛර්ය්‍යයට පත් කරනවා "
"abashment,ලජ්ජා වීම"
"abate-jour,ජනේල වහලය "
"abate,අඩු කරනවා "
"abated,අඩු වූ "
"abatement,අඩු කිරීම "
"abattoir,සතුන් මරන තැන "
"abbacy,තාපසාරාමයෙහි අධිපතිකම"
"abbess,කන්‍යාරාමාධිපතිනිය "
"abbey,කන්‍යාරාමය "
"abbot,ආශ්‍රමාධිපති තැන "
"abbreviate,අඩු කරනවා "
"abbreviated,සංක්ෂිප්ත"
"abbreviation,කෙටි කිරීම "
"abdicate,නිලය අත්හරිනවා "
"abdication,අත්හැරීම "
"abdomen,උදරය "
"abdominal,උදර "
"abduct,පැහැර ගෙන යනවා "
"abduction,පැහැර ගෙන යෑම "
"abductor,පැහැර ගෙන යන්නා"
"abeam,ගුවන් නැවක දික්භාගයට ලම්බාකාරව පිහිටි"
"abed,ඇඳෙහි "
"abele,සුදු පොප්ලර්"
"aberrant,ඉබා ගාතේ යන "
"aberration,නොමග යාම "
"abet,වරදට අනුබල දෙනවා "
"abetment,අනුබල දීම "
"abettor,අනුබල දෙන්නා "
"abeyance,දැන් භාවිතයේ නොමැතිවීම "
"abeyant,කලකට අත් හිටි "
"abhor,අප්‍රිය කරනවා "
"abhorrence,දැඩි පිළිකුල"
"abhorrent,අප්‍රියජනක "
"abhorrer,පිළිකුල් කරන්නා"
"abide,වාසය කරනවා "
"abided,ඉවසනවා "
"abiding,නොවෙනස් වන "
"ability,දක්ෂකම "
"abject,අධම "
"abjection,තුච්ඡභාවය "
"abjectly,නීච ලෙස"
"abjectness,දුක්ඛිතභාවය "
"abjuration,ප්‍රතික්ෂේප කිරීම"
"abjure,දිවුරා ප්‍රතික්ෂේප කරනවා"
"ablate,ගෙවෙනවා "
"ablation,සැත්කමකින් පටකයක් ඉවත් කිරීම "
"ablative,අවධි විභක්තිය"
"ablaut,වචනවල ක්‍රමානුකූල ස්වර විචලනය "
"ablaze,ඇවිළී පවතින "
"able-bodied,ශක්තිමත් "
"able,යමක් කිරීමට ඇවැසි දැනුම "
"ablution,නෑම "
"ablutionary,නා පිරිසිදු වන"
"ably,දක්ෂ ලෙස"
"abnegate,අයිතිවාසිකම අත්හරිනවා "
"abnormal,අනියම් "
"abnormality,අනියම් බව "
"abnormally,අනියම් ලෙසින් "
"aboard,දුම්රියේ නැවේ යාත්‍රාවේ හෝ වාහනයක"
"abode,නිවස "
"abolish,අවලංගු කරනවා "
"abolition,අවලංගු කිරීම "
"abolitionist,අවලංගු කිරීමට ක්‍රියා කරන්නා"
"abominable,තුච්ඡ "
"abominate,ද්වේෂ කරනවා "
"abomination,ද්වේෂය "
"aboriginal,ආදිවාසික "
"aborigine,ආදිවාසියා "
"aborigines,ආදිවාසීහු "
"abort,අසාර්ථක වෙනවා "
"aborted,සම්පූර්ණ කිරීමට කලින් විනාශකළ"
"abortion,ගබ්සා කිරීම "
"abortive,අසම්පූර්ණ "
"abound,අධිකව පවතිනවා "
"abounding,අධික "
"about,ගැන "
"above-board,අවංක "
"above-mentioned,ඉහතකී "
"above-the-line,රේඛාවට ඉහළින්"
"above,ඉහළ "
"abracadabra,දෙඩවිල්ලක් "
"abrade,සූරනවා "
"abrading,සූරමින් සිටිනවා"
"abrasion,සීරීම "
"abrasive,රළු "
"abreaction,කළිත් යටපත් කර තිබූ අදහසක් නිදහසේ ප්‍රකාශ කිරීම"
"abreast,උරෙන් උර ගැසී "
"abridge,අඩු කරනවා "
"abridged,සංක්ෂිප්තය"
"abridgement,සංක්ෂිප්තය "
"abridgment,කෙටි කිරීම "
"abroad,එතෙර "
"abrogate,අවලංගු කරනවා "
"abrogated,අස් කරන ලද "
"abrogation,අවලංගු කිරීම "
"abrogative,අපලෝපනීය"
"abrupt,අනපේක්ෂිත "
"abruptly,බලාපොරොත්තුවක් නැතිව "
"abruptness,බලාපොරොත්තුවක් නැතිව සිදුවීම"
"abscess,ගඩුව "
"abscissa,තිරස් ඛණ්ඩය "
"abscission,කපා හැරීම "
"abscond,මග හරිනවා "
"absconded,මගහැර පැන යාම"
"absconder,පැන ගොස් සැඟවී සිටින්නා"
"abseil,තද බෑවුමක් ඇති කන්දක් ලණුවක ආධාරයෙන් බැසීම"
"absence,නොපැමිණ සිටි කාලය "
"absent-minded,අමතක වන "
"absent-mindedness,ඉතා ගැඹුරින් සිතන "
"absent,නොපැමිණි "
"absentee,නොපැමිණි "
"absenteeism,සේවයට වාර්තා නොකිරීම"
"absinthe,පෙරූ මත්පැන් වර්ගයක්"
"absolute-temperature,නිරපේක්ෂ උෂ්ණත්වය"
"absolute-zero,නිරපේක්ෂ ශුන්‍යය"
"absolute,නියත "
"absolutely,නිසැකවම "
"absoluteness,කේවලතාව "
"absolution,පව්සමාව "
"absolutism,නිරපේක්ෂතාවාදය "
"absolve,නිදොස් කරනවා "
"absorb,අවශෝෂණය කරනවා "
"absorbability,අවශෝෂ්‍යතාව"
"absorbance,උරා ගන්නා ධාරිතාව"
"absorbed,ගැලුණු "
"absorbency,අවශෝෂකතාව"
"absorbent,අවශෝෂක "
"absorber,අවශෝෂණකාරකය"
"absorbing,සිත් අලවන"
"absorption,අන්තර්ග්‍රහණය "
"absorptive,උරාගන්න සුලු"
"absorptivity,අවශෝෂකතාව "
"abstain,මිදෙනවා "
"abstainer,වළකින්නා "
"abstemious,කෑමෙහි පමණ දත් "
"abstention,මිදීම "
"abstergent,ක්ෂාලකය"
"abstinence,වර්ජනය "
"abstinent,වළකින"
"abstract,උපුටා ගන්නවා "
"abstracted,වෙන් කොට ගත්"
"abstractedly,වෙන් කර ගත් ලෙස"
"abstraction,අපහරණය "
"abstractionism,අමූර්තනවාදය"
"abstractionist,අමූර්තනවාදියා "
"abstractions,අමූර්තන"
"abstractor,සාර සංග්‍රහ කාරක"
"abstracts,සාරාංශ "
"abstruse,අමාරු "
"abstrusely,නොපැහැදිලි ලෙස"
"abstruseness,ගැඹුරු බව"
"absurd,අයුක්ති සහගත "
"absurdity,අයුක්ති සහගත වීම "
"absurdly,හාස්‍යජනක ලෙස"
"abundance,අතිශය "
"abundant,අති බහුල "
"abundantly,අධික ලෙස"
"abuse,අනිසි ලෙස යෙදීම "
"abusive,අපවාදාත්මක "
"abusiveness,නින්දා සහගත බව"
"abut,නෙරා සිටිනවා "
"abutment,ආධාරය "
"abuttal,යාවීම"
"abutter,යා වූ දේපළ හිමියා "
"abutting,යාබද "
"abysm,අගාධය"
"abysmal,අගාධ "
"abyss,අගාධය "
"abyssal,අගාධ "
"ac,ප්‍රත්‍යාවර්ත ධාරාව"
"ac,වායු සමීකරණය"
"acacia,සුදු හෝ කහ මල් ඇති ගස් විශේෂයක් "
"academic,ශාස්ත්‍රාලීය "
"academical,විද්‍යාලයකට අයත්"
"academician,විද්වතා "
"academicism,ශාස්ත්‍රාලවාදය"
"academy,විද්‍යාපීඨය "
"acajou,කජු ගස "
"acanthus,කටු සහිත පත්‍ර ඇති ශාකයක් හෝ එහි මල් "
"accede,අනුමත කරනවා "
"accelerate,ඉක්මන් කරනවා "
"accelerated,ත්වරිත "
"acceleration,ඉක්මන් කිරීම "
"accelerator,ඇක්සලරේටරය "
"acceleratory,ත්වරක "
"accelerometer,ඇක්සලරෝමීටරය "
"accent,උච්චාරණ විධිය "
"accented,උච්චාරණය කළ "
"accentuate,ස්වරයන්ගේ උච්චාරණය දක්වනවා"
"accentuation,අවධාරණය "
