,Id,Text,Post_category,Text_cleaned
0,0.0,"""ලොරි,ටැක්ටර්  පමන යොදාගනිමින් සෝමාවතී රක්ෂිතයත් ඩෝසර් කරමින් පවතී..""",News,ලොරිටැක්ටර්  පමන යොදාගනිමින් සෝමාවතී රක්ෂිතයත් ඩෝසර් කරමින් පවතී
1,1.0,"""ගිනි ගන්නා ඉන්ධන නෞකාවේ කාර්ය මණ්ඩලය මුදා ගැනීමට නාවික සහ ගුවන් හමුදා මෙහෙයුමක්...ගිනි ගන්නා ඉන්ධන නෞකාවේ කාර්ය මණ්ඩලය මුදා ගැනීමට නාවික සහ ගුවන් හමුදා මෙහෙයුමක්...""",News,ගිනි ගන්නා ඉන්ධන නෞකාවේ කාර්ය මන්ඩලය මුදා ගැනීමට නාවික සහ ගුවන් හමුදා මෙහෙයුමක්ගිනි ගන්නා ඉන්ධන නෞකාවේ කාර්ය මන්ඩලය මුදා ගැනීමට නාවික සහ ගුවන් හමුදා මෙහෙයුමක්
2,2.0,"""තිලක් මාරපනගේ සොහොයුරා ආණ්ඩුක්‍රම ව්‍යවස්ථාව හදන කමිටුවේතිලක් මාරපනගේ සොහොයුරා ආණ්ඩුක්‍රම ව්‍යවස්ථාව හදන කමිටුවේ""",News,තිලක් මාරපනගේ සොහොයුරා අන්ඩුක්‍රම ව්‍යවස්ථාව හදන කමිටුවේතිලක් මාරපනගේ සොහොයුරා අන්ඩුක්‍රම ව්‍යවස්ථාව හදන කමිටුවේ
3,3.0,ඉන්දීය අගමැතිගේ ට්විටර් ගිණුමට සයිබර් ප්‍රහාරයක්...ඉන්දීය අගමැතිගේ ට්විටර් ගිණුමට සයිබර් ප්‍රහාරයක්...,News,ඉන්දීය අගමැතිගේ ට්විටර් ගිනුමට සයිබර් ප්‍රහාරයක්ඉන්දීය අගමැතිගේ ට්විටර් ගිනුමට සයිබර් ප්‍රහාරයක්
4,4.0,"""පුවතක්. මොරවැව කැළේ ගල්සියබලා කැඩූ  කට නඩු. අවුරුදු  කටවත්  හිරේ යවන්න ඕන,සර් මුන්ව , කැළේ වගේද ගල්සියබලා.😄😁😃😄""",News,පුවතක් මොරවැව කැලේ ගල්සියබලා කැඩූ  කට නඩු අවුරුදු  කටවත්  හිරේ යවන්න ඔනසර් මුන්ව  කැලේ වගේද ගල්සියබලා😄😁😃😄
5,5.0,"""ගෙවත්තේ නිදා සිටියදී සර්පයා මුවින් ඇතුළු වී උගුර දිගේ උදරයට පිවිසිලා...ගෙවත්තේ නිදා සිටියදී සර්පයා මුවින් ඇතුළු වී උගුර දිගේ උදරයට පිවිසිලා...""",News,ගෙවත්තේ නිදා සිටියදී සර්පයා මුවින් ඇතුලු වී උගුර දිගේ උදරයට පිවිසිලාගෙවත්තේ නිදා සිටියදී සර්පයා මුවින් ඇතුලු වී උගුර දිගේ උදරයට පිවිසිලා
6,6.0,"""මාලිංග පෞද්ගලික හේතුවක් නිසා මෙවර අයි.පී.එල්. තරගාවලියෙන් ඉවත්වෙයිමාලිංග පෞද්ගලික හේතුවක් නිසා මෙවර අයි.පී.එල්. තරගාවලියෙන් ඉවත්වෙයි""",News,මාලිංග පෞද්ගලික හේතුවක් නිසා මෙවර අයිපීඑල් තරගාවලියෙන් ඉවත්වෙයිමාලිංග පෞද්ගලික හේතුවක් නිසා මෙවර අයිපීඑල් තරගාවලියෙන් ඉවත්වෙයි
7,7.0,"""ශ්‍රී ලංකාවේ සෑම  දෙනෙකුගෙන් එක් අයෙකු ම කුඩුවලට ඇබ්බැහි වෙලාඉකුත් වසර පහ තුළ මත්කුඩු සම්බන්ධ නඩු ,ක් වාර්තා වෙලා...""",News,ෂ්‍රී ලංකාවේ සෑම  දෙනෙකුගෙන් එක් අයෙකු ම කුඩුවලට ඇබ්බැහි වෙලාඉකුත් වසර පහ තුල මත්කුඩු සම්බන්ධ නඩු ක් වාර්තා වෙලා
8,8.0,"""ගමට ස්පා එපා. ජල සම්පත සුරකිනනු, මුවගල කන්ද විනාශය ට එරෙහිව  ජනතාව වීදි බසී.කූබියන්ගොඩ මාතලේ පාර වසා දමයි.. """,News,ගමට ස්පා එපා ජල සම්පත සුරකිනනු මුවගල කන්ද විනාෂය ට එරෙහිව  ජනතාව වීදි බසීකූබියන්ගොඩ මාතලේ පාර වසා දමයි 
9,9.0,"""පොල් ගෙඩි තුළ සඟවා හෙරොයින් ඇද්ද පහක් අල්ලයි..පොල් ගෙඩි තුළ සඟවා හෙරොයින් ඇද්ද පහක් අල්ලයි..""",News,පොල් ගෙඩි තුල සගවා හෙරොයින් ඇද්ද පහක් අල්ලයිපොල් ගෙඩි තුල සගවා හෙරොයින් ඇද්ද පහක් අල්ලයි
10,10.0,"""හෙට දිවයිනේ  කාළගුණ තත්වය ...""",News,හෙට දිවයිනේ  කාලගුන තත්වය 
11,11.0,"""ජේම්ස් ඇන්ඩර්සන්  වන ටෙස්ට් කඩුල්ල දවා ගනී""",News,ජේම්ස් ඇන්ඩර්සන්  වන ටෙස්ට් කඩුල්ල දවා ගනී
12,12.0,"""එංගලන්තයේ වේග පන්දු යවන ක්‍රීඩක ජේම්ස් ඇන්ඩර්සන් සිය ටෙස්ට් ක්‍රිකට් දිවියේ  වන ටෙස්ට් කඩුල්ල දවා ගත්තේය.""",News,එංගලන්තයේ වේග පන්දු යවන ක්‍රීඩක ජේම්ස් ඇන්ඩර්සන් සිය ටෙස්ට් ක්‍රිකට් දිවියේ  වන ටෙස්ට් කඩුල්ල දවා ගත්තේය
13,13.0,"""ඒ, බටහිර ඉන්දීය කොදෙව් කණ්ඩායම සමග පැවැත්වෙන වන ටෙස්ට් තරගයේදීය.තරගය ලන්ඩන්හිදී පැවැත්වේ.ඇන්ඩර්සන් ටෙස්ට් කඩුලු ක් දවාගත් එංගලන්ත කණ්ඩායමේ පළමු ක්‍රීඩකයා බවට ඉතිහාස ගත විය.""",News,එ බටහිර ඉන්දීය කොදෙව් කන්ඩායම සමග පැවැත්වෙන වන ටෙස්ට් තරගයේදීයතරගය ලන්ඩන්හිදී පැවැත්වේඇන්ඩර්සන් ටෙස්ට් කඩුලු ක් දවාගත් එංගලන්ත කන්ඩායමේ පලමු ක්‍රීඩකයා බවට ඉතිහාස ගත විය
14,14.0,"""මේ අතර ටෙස්ට් කඩුලු ක් දවාගත් ලොව වන පන්දු යවන්නා මෙන්ම ලොව වන වේග පන්දු යවන්නා ද වේ.ප්‍රතිසංස්කරණ කළ කිලිනොච්චිය, ගංගාදරන් ජනපදයේ මාර්ගය ගම්මැද්දනේ ජනතා අයිතියට """,News,මේ අතර ටෙස්ට් කඩුලු ක් දවාගත් ලොව වන පන්දු යවන්නා මෙන්ම ලොව වන වේග පන්දු යවන්නා ද වේප්‍රතිසංස්කරන කල කිලිනොච්චිය ගංගාදරන් ජනපදයේ මාර්ගය ගම්මැද්දනේ ජනතා අයිතියට 
15,15.0,"""හෙට තරගය සඳහා ක්‍රීඩකයින්ගේ මානසික තත්ත්වය ඉහළ නැංවීමට කටයුතු කරන බව ශ්‍රී ලංකා කණ්ඩායමේ පිතිකරු අංශයේ පුහුණුකරු අවිශ්ක ගුණවර්ධන පවසයි.""",News,හෙට තරගය සදහා ක්‍රීඩකයින්ගේ මානසික තත්ත්වය ඉහල නැංවීමට කටයුතු කරන බව ෂ්‍රී ලංකා කන්ඩායමේ පිතිකරු අංෂයේ පුහුනුකරු අවිෂ්ක ගුනවර්ධන පවසයි
16,16.0,"""ප්‍රභල ඔස්ට්‍රේලියාව පරදමින් බංග්ලාදේශය මංගල ටෙස්ට් ජය වාර්තා කරයි""",News,ප්‍රබල ඔස්ට්‍රේලියාව පරදමින් බංග්ලාදේෂය මංගල ටෙස්ට් ජය වාර්තා කරයි
17,17.0,"""බංගලාදේශය අද දහවල් ප්‍රභල ඔස්ට්‍රේලියාව පරාජය කරමින් සිය මංගල ටෙස්ට් ජයග්‍රහණය වාර්තා කළේ ය.එම ජයග්‍රහණය ශ්‍රී ලංකා ක්‍රිකට් පරිපාලකයින් වෙත ප්‍රබල පණිවුඩයක් නිකුත් කරයි.""",News,බංගලාදේෂය අද දහවල් ප්‍රබල ඔස්ට්‍රේලියාව පරාජය කරමින් සිය මංගල ටෙස්ට් ජයග්‍රහනය වාර්තා කලේ යඑම ජයග්‍රහනය ෂ්‍රී ලංකා ක්‍රිකට් පරිපාලකයින් වෙත ප්‍රබල පනිවුඩයක් නිකුත් කරයි
