,Text,Class
0, දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව…,Political
1,මා UNP හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ ඒකාබද්ධ විපක්ෂය වැනි වි…,Political
2,  කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය,Neutral
3,     එහෙම කොහොමද උනේ 😂😂 පරය අපිව අයින් කරල නේ 😂,Neutral
4,විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා,Political
5, ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්,Racist
6, ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්,Racist
7,  ඇයි මං තම්බි වගේද පෙන්නෙ😏 මං බ්‍රහස්පතින්දා ගෙදර එන්නෙඑතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම්😅,Neutral
8, ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ්,Racist
9,පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ එහෙම ඉදගෙන උන්ගේ ශරියාව සහ උන්ගේ බෝවීම ස්ථාවර කරගන්නවා උන්ගේ ටාගට් එක රටේ බහුතර…,Racist
10,ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන්  අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ මේ රටේ ඇතිවූ…,Neutral
12,ඉස්ලාමය ත්‍රස්තවාදීයි  එහි තේරුම එයයි,Racist
13,  පළ පළ තම්බි හුනා තමන්ගේ වැඩක් බලාගෙන හිටු අපි අපේ රට ගැන බලා ගන්නම්  අවජාතකයා,Racist
14,  අඩෝ තම්බි පරයා  කට වහගෙන හිටු අල්ලාහ්ගේ හොර ගැනිට අයේශට පෝලින් දානවා පරයා ආ අර වයසක කඩීජා ත් හොදයි හැබැයි,Racist
15,කාද යකෝ ඕසදීව ඩීප්ෆ්‍රීසර් එකෙ හිර කරල තිබ්බ පරය 👹️ ,Sexism
17,එක පැත්තකින් බැලුවාම උඩතලවින්නේ තම්බි දණ ගැස්සු චරිතයක් තමා ලොහාන් කියන්නේ  ,Racist
18,සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත මේ…,Racist
19,Muslim ලෝකයටම පිළිලයක් වු මරක්කල කරණය වහබ්වාදය Srilanka වෙන් තුරන් කළ යුතු කාලය පැමිණ ඇත සැවොම එකයි කියමින් වෙනම ක්…,Racist
20, පලයන් පරය,Neutral
21,රැවුල කොණ්ඩෙ කපන්න ගිහින් පොඩ්ඩක් කොටකරන්න කිව්වම ඒ පරය කොටටම කපලා 😢😭  බාබරයට හෙණගහන්නෙපැයි කරපු අපරාදෙට😢😢  disappointed,Neutral
22,මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං…,sports
23,මේ දවස්වල කරු ජයසූරියට සද්දෙට පඩයක් ගියත් ගියත් ඉස්සර වෙලාම දුවන්නෙ තම්බියො ටිකඒක ඉඹල හරිම හොඳයි හොඳ සුවඳයි කියල කෑ ගහනව lka,Racist
24, හම්බයා,Racist
25, ගහප් පරය 😂,Neutral
26,Music මෙහෙ සමහරුන්ට උනාට සව්දියේ හලාල් Bro☺☺☺ ,Racist
27,SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ…,Political
28,මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙ…,Neutral
29, හිස්බුල්ලා ආවා හලාල් බුර්කා මුස්ලිම් ආක්‍රමන විසදුනා  TNA එස් වියාලේන්ද්‍රන් ආවා  ලංකාවේ කොටි ප්‍රශ්නයත් විසදුනා  …,Racist
30, උඹලැ බලුමූනු අමිත්ගේ බණ අහල අන්න තව්හිද් ජමා සහ තම්බි අන්තවාදීන් සෙට් එක සෝවාන් වෙල උඹල උන්ව හරිමගට ගත්ත නේ අනෙ හුකේ   එකේක විකාර අවුස්සල වීඩියෝ දාල රට ඉන්න කොල්ලන්ගෙන් සල්ල්ලි හිඟාකනෝ ඒව ගසාකනෝ තොපිද් දැනුවත්ව හෝ මෝඩ කමට ඕ ගස්නරින්ට කඩේ යනව,Religion
31, මිනිස්සු කුලප්පු කරන් ගිහින් තන්බිගෙ කඩ ගිනිතිව්වා පස්සෙ තම්බි ඒ එක කඩේට තුන්හතරපාර වන්දි ගත්තා ආන්ඩුවෙන් එකපාරයි පල්ලියෙන් තවපාරයි පොටෝ යවල රට රටවලින් තව ආදාර  දැන් තොපි හිතාන ඉන්නව අමිත් අයියා තම්බියට ඇරිය තම්බියට කෙලිය කියල  උන්ට තිබ්බටත් වඩා හොඳයි,Religion
32, දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව         Unp ය දේශද්‍රෙහි පක්ෂයකටවත් බුද්ධ පූජාව පවා හලාල් කල ඒකාබද්ධ විපක්ෂයටවත් එකතු වෙන්නේ නැ Vidio නරඹන්න ,Racist
33,මා UNP හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ ඒකාබද්ධ විපක්ෂය වැනි විල්පත්තුව විනාශ කල ශ්‍රී පාදය අරාබියට විකුණු හලාල් ගෙන ආ බැංකු පවා ෂරියා කල පක්ෂයකට කොහොමත් එක් වන්නේ නැ  මාධ්‍ය සාගච්ඡාව අමිත් වීරසිංහ ,Racist
34,නසිය කිව්වත් 👊 නානා  කිව්වත් 👍 තම්බි කිව්වත් 💪 කිව්වේ ආදරයට 😍 Mohamed Nazeem අපේ ආදරණිය සටන් සගය  👏 බෙදුනු රටක් එක්කරන්න  දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක් 🙏 නම Nazeem නිසා 😀 නසිය කියනවා 😍 මුස්ලිම් සහෝදරයෙක් ,Religion
35,ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන්  අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ මේ රටේ ඇතිවූ මුස්ලිම්  සිංහල ජාතිවාද කෝලහාල පිටුපස සිටියේ කවුද  හලාල් ගෙනත් ජාතියක් වැනසීමට ජාතිවාදය අවිස්සුවේ කවුද  අද කොහොමද මෙහෙම අගසවු තබාගෙන ඉන්නේ  ,Racist
36,     තම්බියඋඹට ආගමක් ඇදල ගන්නම ඕන නේද වල් ඌර  හිටපං උබෙ FB ගේම Youth Council එකට යවනකන්,Racist
37,නිකමට අහන්නෙ   එදා පාර්ලිමේන්තුවේ විශ්වාසභංගයට පක්ෂව ඡන්ද ක් ලැබුණම සමාජ මාධ්‍යවල වගේම සමාජයෙත් පැතිරුණා මතයක් ඒ දෙමලු සහ තම්බි එකෙක්වත් මහින්ද මහත්තයා එක්ක නැහැ සිංහලුනේ අවදිවව් කියලා   දැන් අපි තේරුම් ,Racist
38, තම්බි හැත්ත මැරිලා නැද්ද  අල්ලාහ් ලංකාවට ඇවිත් ලු පාර්ලිමේන්තුවේ අල්ලාගේ පුත්තු දිනනවාද බලන්න ඒ හින්දා වැස්ස වලායක දෙයියෝ කුවෙට් එකෙන් පොඩි ආතල් එකක් අරන් පවු අප්පා,Racist
39,      තම්බි නානා උබගේ අදහස් මට වැදගත් නැ අනික උබට බැ මාගේ අදහස් කීම නවත්වන්න ගෙරිකම පිහිදාගෙන උබලාගේ දේ තියෙන අරාබියට පලයල්ලා එහෙටත් උබලාව ගන්නේ නැනේ ඒ නිසා සිංහල සංස්කෘතියට ගරුකරමින් ජීවත්වෙයන් නිකන් පොර ටොක්ස් නැතුව ඉතා ඉවසීමෙන් මේ ටික ලීවේ,Racist
40,අර හලාල් විතරයි කන්න ඕන කියල නීති ගෙනාවේ මේ උන්දැලා නේද   ලංකාවේ ඇතිවුන ප්‍රධාන ගැටලුවට හේතුවුන මේ අන්තවාදී සංවිධාන එක්ක සාකච්ඡා කලාට වැඩක් නෑ කොහොමත් ඒ අය ඔය මහත්වරුන්ට ඡන්දය දෙන්නෙ නෑ නෑ නෑමයි ,Racist
41,මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං ලංකාවේ ඉන්න හඩු පෙරාගත්ත තම්බි වගේද අනේ රහීම්ස් ලා   එයාගෙන් අහන්න ඕනේ පශ්චාත් සුනාමි සංවර්ධන ,Racist
42,සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත මේ දෙගොල්ලන්ගෙන් බේරෙන්නට සිංහල පක්ෂයක් හෝ සිංහල දේශපාලකයෙක් අවශ්‍යයයි සොයා දිය හැකි අයෙක් සිටිත් ද ,Racist
43,SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ මෙවන් පිරිසක් උදෙසාද යැයි සිතේ යකාගේ හැටියට විමානය සේ ජනතාවට අනුව පාර්ලිමේන්තුවේ පිරිසද තකට තක ය තම්බි දැන් මේ පැත්තේය ඉස්සර උන් අර පැත්තේය ,Racist
44,මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙන්නුවා අඩෝ අර තම්බි කෑල්ල පට්ටනේ කියල මූ කියාපි   හුටෝ ඒ මගේ අක්කා කියල  😐😐😐😐 මතක,Religion
45,මත්කද හුත්තො   ලොක විනාසේ ඇවිත් මුලුලොකෙම විනාස උනාඅදට අවුරුදු මිය ගිය සිය්ලුදෙනාටම  නිවන් සුව පතන්න,Neutral
46, යකෝ උඹට ඕනි විදිහට සිංහල අකුරු ගලපන්න බෑ අකුරු හරියට ලියන්න බැරිනම් සිංහලෙන් නොදා හිටු 😡,Neutral
47,රට බෙදන සියළු කොන්දේසි වලට අද රනිල් ලිඛිතව එකඟ වී දෙමළ සංධානයේ සහය ලබා ගනී,Political
48,  අනිවාර්යයෙන් හම්බ කරලා කාලා බීලා ආතල් එකේ ඉන්න ඕනසැපේ,Neutral
49, සල්ලි නෑ බොලඩොලර් ක් හම්බ කලොත් ක් GST ක් ආදායම් බදුලේසි නැ,Neutral
50,අම්ම ගාව තියනව බං එයාගෙං ඉල්ලගනිං මීට තාත්ති😁 ,Neutral
51,sinhala hot gossip සිංහල බෞද්ධ සේවකයන්ට සුළු ජාතික නිළදාරින්ගෙන් කරදර ප  via ,Racist
52,මඩ කරි රංජා මාව බොලොක් මෙන්න මේක ඌට ටැග් කරපල්ලා කවුරැහරි හිටපු ආරක්ශක ලේකම් ටයි බේරැවල හිටපු නගරාධිපතිටයි බුකියෙ…,Neutral
53, මෙහ් හුත්තො 🙄,Neutral
54,     හර්ශ මචං එතකොට ඔය grant එක දුන්නේ UNP එකටද නැත්තන් රටක් හැ…,Political
55,  වයස ගැන කියල දෙන්න උබ හෙන වයස එකාද අනෙ මේ පලයං බං යන්ඩ,Neutral
56,හදිසියක් උනාම එක කෝල් එකෙන් හරි අරන් පලයන් කිවුව Muthu අයියා තැන්කූ ❤️,Neutral
57, ඒ උනාට සිංහල නෑනෙ,Neutral
58, 😂😂😂 මම පබ්ලිසිටි අරන් දෙන්නම්  උඹ ගේම ගහගෙන පලයන්,Neutral
59,  උබ පලයන් යන්න😂😂,Neutral
60, මොංගල් ද 😑 පලයන් බන් යන්න,Neutral
61, කොටුවෙන් ගත්තෙ සීයට තුනක් හම්බ උනා 😂🔫,Neutral
62,ලබන  වසරේදී සිංහල සිනමාව වෙනුවෙන් නිකුත් වීමට නියමිත චිත්‍රපට කිහිපයක් මේ Thread එකෙන් ඔබට බලාගත හැකිය …,Neutral
63,දෙමළ සන්ධානය එජාපයට හේත්තු වූ හේතුව ධර්මලිංගම් කියයි ,Political
64,  සිංහල අකුරු පොඩ්ඩක් ලොකුයි වගේ  ඒකයි ඇහුවේ ,Neutral
65,  මේක ලෝකෙට කියන්නත්  හදුන්වන්න ඕනේ  සිංහල ජාතිකයෙක්  හැටියට අම්මපා මුන් මොන S…,Neutral
66,ජනපති ගේ පිස්සු නැටිල්ල ගැන BBC සිංහල සේවය ලියූ දිග ලිපිය ,Political
67,සිංහ ලග්නය  Leo   නව වසර ඔබට කොහොමද මෙන්න ,Neutral
68,මොකද්ද මතක් උන සිංහල සින්දුව ,Neutral
69, ඔව් ඔව් ගෙදරක හැදුවොත් තමයි ඉතින් නිවාඩුවට කොස් තියෙන කාලෙට ගෙදර ගියොත් ඉතින් ඔය මෙනු එක මට හම්බ වෙනවමයි,Neutral
70, සරල සිංහල ව්‍යාකරණ වත් දන්නෙ නැති එකෙක් මේක දාල තියෙන්නෙ රට හදන්න කලින් තමන්ගෙ මව් භාෂාව වත් ඉගෙනගෙන වරෙන් පක්ෂයටත් අපහාසයක්,Neutral
71, අනේ පලයන් හූනූ පැටියෝ යන්න දෙහි ගෙඩි දෙකක් තරම් උස නෑ එනවා මාව මරන්න😂😂😂,Neutral
72,BBC News සිංහල  ඊෂා අම්බානි ඉන්දියාවේ ධනවත් ම පුද්ගලයාගේ දියණියගේ උත්කර්ෂවත් විවාහය ,Neutral
73,ආච්චිට සීයා හම්බ වුනොත් හුරගෙන කනවලු ,Neutral
74,BBC News සිංහල  අකිල ධනංජයගේ පන්දු යැවීමේ විලාසය නීති විරෝධීයි  අයිසීසී ,sports
75,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා ,Political
76,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https…,Political
77,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් ,Political
79, ලංකාව මෆියාලන්තය ඡනාධිපතිමෆියාඅධිපති අගමැතිමෆියාපති අැමතිමෆියාමැති නියොඡය අැමති නියොඡය මෆියාමැති  ම…,Political
80,ගරාජ් රස්සාවක් කල නිසා අතඅැරපු පෙම්වතාව වසර  කට පස්සේ හම්බ උන උපාධිධාරිනිය විමතියට පත් උනා ,Neutral
81,රනිල්ට කිසි දා ඡන්දයෙන් විධායක ජනාධිපති වෙන්න බැහැ දෙමළ ජාතිවාදීන්ට සන්ධීය රාජ්‍යය පිහිටුවා ගන්න  විධයක ජනාධිපති බාධාව…,Political
82, පලයන් යකො යන්න ලෙඩ පිට දිව්වෙ හහ් 🤪🤪🤪,Neutral
83,ගුම්මෝනින් ප්‍රෙන් පුලුවන් එකෙක් ඉන්නවනම් කියාගෙන පලයන් 😂😂😂😂😂😂,Neutral
84,ජනපති ට දුන් කාලය අවසානයි  දැන් පලයන්,Political
85, මැද අම්ම දෙපැත්තෙ දරුවෝ දෙන්න 😂,Neutral
86, සල්ලි  හම්බ කරන්නාට දුකත්  වියදම් කරන්නාට සැපත් ගෙන දේ    Shewan  😊🤔😊  ,Neutral
87,පුවත  අම්පාරෙ කඩේක හොද්දක පිටි ගුලියක්   යකෝ හම්බයො පෙති දාල ජාතිය වඳ කරනෝ රට ජාතිය අනතුරේ සිංහල ලේ කකියනෝ යන්නෙත්…,Racist
88,යසිත් මාලිංග ඇවිත් හිටියා දොඩන්දුවේ මලු ලැල්ලට තාත්තා හම්බ වෙන්න  බස් එකෙන් බැහැලා ගිහින් පොටො එකක් ගහන් එන්න හිතුනා   ඇපල්…,sports
89, බොරු කියන්න ඕනෙ නැ බ්‍රෑන්ඩඩ් ඒව ගන්නෙ හම්බ කරන නිස සිරාවටම කොලිටි   ටිම්බර්ලෑන්ඩ් දෙක මරෙනකන්ම තියාගන්න පුලුවන්න්,Neutral
90,BBC News සිංහල  ඔස්ට්‍රේලියාව ලෝකයේ අවධානය දිනූ අයෝමය කැන්ගරු රොජර් මිය යයි ,Neutral
